pl_rade,pl_trandep,st_teff,pl_trandur,pl_orbper,st_rad,sy_dist,pl_bmasse,label_standardized,dataset_source
2.37,862.7,5659.0,3.57,56.2279271,0.756,264.78,12.0,CONFIRMED,KEPLER
17.06,1268.1,5659.0,3.0918,2.384052875,0.701,264.78,12.0,FALSE POSITIVE,KEPLER
2.25,875.4,5659.0,2.6312,7.953547,0.779,264.78,12.0,CONFIRMED,KEPLER
1.48,391.8,5659.0,2.3421,4.14451656,0.779,264.78,12.0,CONFIRMED,KEPLER
38.33,6044.3,5659.0,2.2757,4.859386384,0.988,264.78,12.0,FALSE POSITIVE,KEPLER
8.24,9768.0,5659.0,2.5211,10.526294577,0.793,264.78,12.0,CONFIRMED,KEPLER
5.39,3812.1,5659.0,2.7055,4.583520948,0.877,264.78,12.0,CONFIRMED,KEPLER
2.66,510.6,5659.0,3.5176,3.76181843,0.949,264.78,12.0,CONFIRMED,KEPLER
3.01,1024.4,5659.0,2.9667,8.20396958,0.826,264.78,12.0,CONFIRMED,KEPLER
3.01,647.5,5659.0,4.016,14.49645186,0.826,264.78,12.0,CONFIRMED,KEPLER
2.19,655.9,5659.0,2.75,6.54626149,0.817,264.78,12.0,CONFIRMED,KEPLER
2.31,1149.4,5659.0,3.0957,12.71809866,0.686,264.78,12.0,CONFIRMED,KEPLER
2.64,1563.8,5659.0,4.3246,36.06588163,0.686,264.78,12.0,CONFIRMED,KEPLER
6.21,2877.4,5659.0,2.8589,4.190425659,1.135,264.78,12.0,CONFIRMED,KEPLER
4.35,2020.3,5659.0,3.0694,3.709870784,0.978,264.78,12.0,CONFIRMED,KEPLER
3.75,1187.5,5659.0,6.271,16.3297527,0.987,264.78,12.0,CONFIRMED,KEPLER
13.84,25391.0,5659.0,4.21587,27.807566216,0.785,264.78,12.0,CONFIRMED,KEPLER
7.59,3604.6,5659.0,11.195,80.8723469,1.238,264.78,12.0,CONFIRMED,KEPLER
